T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0159,9988.777293,55.31486066,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.453400497,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0224,4988.777293,50.33183607,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.412556033,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,988.7772931,32.58572131,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.267096076,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,188.7772931,11.65747541,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.095553077,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,88.77729308,6.269922131,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.051392804,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,78.77729308,5.606068852,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.045951384,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,68.77729308,4.977159836,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.040796392,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,58.77729308,4.349409836,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.0356509,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,48.77729308,3.69015,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.030247131,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,38.77729308,3.018859016,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.024744746,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,28.77729308,2.322204918,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.019034467,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,18.77729308,1.605505738,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.013159883,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,8.777293077,0.878516393,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.007200954,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-1.222706923,0.139711967,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.00114518,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-11.22270692,-0.58927582,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.00483013,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-21.22270692,-1.404193443,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.011509782,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-31.22270692,-2.10612459,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.017263316,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,-9990.639421,-55.32428689,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.453477761,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,-4990.639421,-50.34427049,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.412657955,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,-990.6394212,-32.62697541,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.267434225,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-190.6394212,-11.92021311,12.2,5.285,0.8349,55.32,0.3443,4.44,9988.777293,1.3,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.097706665,0.1,0.02,0.0011,0.45,0.0041,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
