T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0095,9988.777293,34.92845385,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.268680414,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,4988.777293,31.11443077,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.239341775,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,988.7772931,19.12612308,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.147124024,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,188.7772931,6.769981538,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.052076781,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,88.77729308,3.638380769,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.027987544,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,78.77729308,3.270562308,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.025158172,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,68.77729308,2.911930769,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.022399467,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,58.77729308,2.547156154,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.019593509,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,48.77729308,2.162442308,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.016634172,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,38.77729308,1.77898,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.013684462,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,28.77729308,1.379036923,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.010607976,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,18.77729308,0.967286923,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.007440669,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,8.777293077,0.557141308,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.004285702,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,-1.222706923,0.132158615,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.001016605,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-11.22270692,-0.287109769,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.002208537,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,-21.22270692,-0.746924538,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.005745573,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,-31.22270692,-1.160260769,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.008925083,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-9990.639421,-35.05396923,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.269645917,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,-4990.639421,-31.21253846,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.24009645,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-990.6394212,-19.17814615,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.147524201,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-190.6394212,-6.9023,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.053094615,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,-90.63942115,-3.805936154,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.029276432,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-80.63942115,-3.441636923,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.02647413,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,-70.63942115,-3.081588462,13,5.32,0.8331,34.99,0.249,5.79,9988.777293,1.41,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.023704527,0.1,0.032,0.0017,0.27,0.003,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
