T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
299.9894,9988.777293,85.63220472,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.674269329,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,4988.777293,82.11141732,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.646546593,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,988.7772931,43.7403937,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.344412549,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,188.7772931,14.51085039,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.114258665,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,88.77729308,9.592204724,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.075529171,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,78.77729308,9.064,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.071370079,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,68.77729308,8.545228346,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.067285263,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0153,58.77729308,8.029551181,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.063224812,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0024,48.77729308,7.506994488,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.059110193,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9701,38.77729308,6.98552126,12.7,5.1953,0.839687,85.62291339,4.971176421,91.02393472,9989.708357,0.67067058,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.055004104,0.1,0.0014,0.000074,0.674269329,0.060062112,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
